transaction_id,product_id,store_id,quantity_sold,sale_price,timestamp
729984,1,1,10,258.9,2024-01-01 14:55:00
729985,2,1,15,302.87,2024-01-01 11:14:00
729986,3,1,6,384.31,2024-01-01 10:32:00
729987,4,1,7,576.7,2024-01-01 16:37:00
729988,5,1,12,415.94,2024-01-01 12:04:00
729989,6,1,7,151.0,2024-01-01 10:32:00
729990,7,1,9,148.86,2024-01-01 20:06:00
729991,8,1,20,109.25,2024-01-01 11:22:00
729992,9,1,13,127.11,2024-01-01 20:12:00
729993,10,1,21,126.3,2024-01-01 18:02:00
729994,11,1,16,136.93,2024-01-01 13:02:00
729995,12,1,17,143.51,2024-01-01 19:51:00
729996,13,1,15,488.7,2024-01-01 16:37:00
729997,14,1,8,45.64,2024-01-01 14:50:00
729998,15,1,19,28.4,2024-01-01 16:53:00
729999,16,1,11,21.36,2024-01-01 07:56:00
730000,17,1,23,37.5,2024-01-01 16:34:00
730001,18,1,22,41.02,2024-01-01 15:25:00
730002,19,1,13,65.85,2024-01-01 19:38:00
730003,20,1,18,55.41,2024-01-01 18:43:00
730004,21,1,5,68.96,2024-01-01 10:41:00
730005,22,1,5,28.24,2024-01-01 16:58:00
730006,23,1,9,51.0,2024-01-01 07:17:00
730007,24,1,10,117.35,2024-01-01 17:54:00
730008,25,1,18,97.7,2024-01-01 11:16:00
730009,26,1,29,216.29,2024-01-01 18:50:00
730010,27,1,13,57.97,2024-01-01 14:18:00
730011,28,1,12,323.37,2024-01-01 12:56:00
730012,29,1,6,570.33,2024-01-01 11:08:00
730013,30,1,6,113.93,2024-01-01 13:41:00
730014,31,1,14,198.17,2024-01-01 11:36:00
730015,32,1,11,71.4,2024-01-01 14:52:00
730016,33,1,6,24.36,2024-01-01 11:31:00
730017,34,1,11,22.65,2024-01-01 13:08:00
730018,35,1,14,155.9,2024-01-01 10:59:00
730019,36,1,15,30.74,2024-01-01 12:20:00
730020,37,1,7,40.99,2024-01-01 07:58:00
730021,38,1,9,37.78,2024-01-01 17:51:00
730022,39,1,14,32.01,2024-01-01 16:43:00
730023,40,1,7,45.64,2024-01-01 10:09:00
730024,41,1,4,116.36,2024-01-01 12:34:00
730025,42,1,10,63.11,2024-01-01 10:34:00
730026,43,1,8,19.46,2024-01-01 12:32:00
730027,44,1,13,20.5,2024-01-01 13:17:00
730028,45,1,18,19.48,2024-01-01 17:44:00
730029,46,1,14,78.57,2024-01-01 20:41:00
730030,47,1,11,68.39,2024-01-01 08:13:00
730031,48,1,6,53.73,2024-01-01 09:35:00
730032,49,1,30,59.74,2024-01-01 18:57:00
730033,50,1,28,119.1,2024-01-01 19:52:00
730034,51,1,19,83.79,2024-01-01 20:19:00
730035,52,1,16,77.02,2024-01-01 18:42:00
730036,53,1,14,112.58,2024-01-01 11:58:00
730037,54,1,14,70.33,2024-01-01 18:44:00
730038,55,1,12,47.88,2024-01-01 21:30:00
730039,56,1,21,216.72,2024-01-01 11:12:00
730040,57,1,11,240.21,2024-01-01 19:49:00
730041,58,1,5,123.55,2024-01-01 11:27:00
730042,59,1,23,194.26,2024-01-01 14:44:00
730043,60,1,4,203.94,2024-01-01 18:19:00
730044,61,1,25,291.89,2024-01-01 11:43:00
730045,62,1,18,284.04,2024-01-01 19:21:00
730046,63,1,25,320.95,2024-01-01 15:03:00
730047,64,1,16,137.71,2024-01-01 18:21:00
