transaction_id,product_id,store_id,quantity_sold,sale_price,timestamp
364994,1,1,8,272.3,2023-01-01 17:09:00
364995,2,1,14,309.13,2023-01-01 17:06:00
364996,3,1,19,381.75,2023-01-01 08:27:00
364997,4,1,21,588.89,2023-01-01 20:56:00
364998,5,1,22,410.1,2023-01-01 10:54:00
364999,6,1,9,155.12,2023-01-01 10:10:00
365000,7,1,23,149.16,2023-01-01 18:38:00
365001,8,1,20,107.02,2023-01-01 10:04:00
365002,9,1,11,127.39,2023-01-01 20:53:00
365003,10,1,13,122.02,2023-01-01 09:39:00
365004,11,1,28,136.21,2023-01-01 15:59:00
365005,12,1,9,147.5,2023-01-01 19:29:00
365006,13,1,21,484.73,2023-01-01 12:33:00
365007,14,1,16,45.76,2023-01-01 10:05:00
365008,15,1,9,28.38,2023-01-01 15:23:00
365009,16,1,25,22.21,2023-01-01 09:35:00
365010,17,1,21,39.04,2023-01-01 19:46:00
365011,18,1,23,42.26,2023-01-01 08:26:00
365012,19,1,7,66.46,2023-01-01 10:05:00
365013,20,1,22,53.71,2023-01-01 15:19:00
365014,21,1,22,66.56,2023-01-01 13:02:00
365015,22,1,9,27.37,2023-01-01 18:52:00
365016,23,1,39,53.0,2023-01-01 21:57:00
365017,24,1,26,114.99,2023-01-01 10:34:00
365018,25,1,33,94.09,2023-01-01 17:53:00
365019,26,1,39,209.75,2023-01-01 09:02:00
365020,27,1,12,56.94,2023-01-01 20:25:00
365021,28,1,36,316.63,2023-01-01 13:38:00
365022,29,1,34,549.81,2023-01-01 12:22:00
365023,30,1,25,116.42,2023-01-01 18:12:00
365024,31,1,24,191.75,2023-01-01 17:19:00
365025,32,1,14,73.39,2023-01-01 11:24:00
365026,33,1,17,24.34,2023-01-01 09:32:00
365027,34,1,8,22.46,2023-01-01 14:39:00
365028,35,1,29,159.2,2023-01-01 14:32:00
365029,36,1,30,29.91,2023-01-01 11:08:00
365030,37,1,10,40.48,2023-01-01 11:06:00
365031,38,1,13,37.72,2023-01-01 16:12:00
365032,39,1,8,31.67,2023-01-01 10:07:00
365033,40,1,18,44.06,2023-01-01 10:36:00
365034,41,1,17,113.4,2023-01-01 11:05:00
365035,42,1,31,66.15,2023-01-01 11:41:00
365036,43,1,23,19.67,2023-01-01 12:20:00
365037,44,1,39,19.58,2023-01-01 13:40:00
365038,45,1,20,19.98,2023-01-01 13:46:00
365039,46,1,17,79.15,2023-01-01 19:48:00
365040,47,1,18,70.94,2023-01-01 14:27:00
365041,48,1,25,55.38,2023-01-01 15:13:00
365042,49,1,19,60.38,2023-01-01 17:09:00
365043,50,1,9,120.99,2023-01-01 09:56:00
365044,51,1,9,83.63,2023-01-01 18:41:00
365045,52,1,27,76.4,2023-01-01 16:46:00
365046,53,1,7,109.47,2023-01-01 10:29:00
365047,54,1,7,69.02,2023-01-01 13:44:00
365048,55,1,8,47.52,2023-01-01 18:22:00
365049,56,1,11,217.71,2023-01-01 12:28:00
365050,57,1,35,244.46,2023-01-01 11:50:00
365051,58,1,20,127.46,2023-01-01 21:15:00
365052,59,1,13,192.69,2023-01-01 16:11:00
365053,60,1,11,205.95,2023-01-01 10:08:00
365054,61,1,33,298.75,2023-01-01 15:45:00
365055,62,1,14,292.07,2023-01-01 19:24:00
365056,63,1,13,317.32,2023-01-01 11:56:00
365057,64,1,28,137.7,2023-01-01 12:06:00
365058,65,1,10,136.6,2023-01-01 18:16:00
365059,66,1,22,29.78,2023-01-01 14:03:00
365060,67,1,19,35.09,2023-01-01 13:30:00
365061,68,1,29,274.78,2023-01-01 07:45:00
365062,69,1,28,167.21,2023-01-01 11:42:00
365063,70,1,14,45.12,2023-01-01 09:43:00
365064,71,1,19,38.82,2023-01-01 20:22:00
