transaction_id,product_id,store_id,quantity_sold,sale_price,timestamp
1,1,1,29,260.94,2022-01-01 08:17:00
2,2,1,11,317.29,2022-01-01 09:47:00
3,3,1,11,370.74,2022-01-01 13:01:00
4,4,1,19,569.52,2022-01-01 16:35:00
5,5,1,25,418.72,2022-01-01 14:14:00
6,6,1,15,157.84,2022-01-01 19:48:00
7,7,1,37,142.52,2022-01-01 12:09:00
8,8,1,35,107.34,2022-01-01 09:24:00
9,9,1,30,126.44,2022-01-01 16:51:00
10,10,1,23,124.09,2022-01-01 10:59:00
11,11,1,22,138.12,2022-01-01 18:39:00
12,12,1,16,141.05,2022-01-01 10:04:00
13,13,1,15,490.23,2022-01-01 11:05:00
14,14,1,20,45.37,2022-01-01 12:29:00
15,15,1,12,28.29,2022-01-01 12:13:00
16,16,1,25,22.14,2022-01-01 17:04:00
17,17,1,10,37.91,2022-01-01 17:10:00
18,18,1,16,42.14,2022-01-01 20:44:00
19,19,1,23,63.27,2022-01-01 19:49:00
20,20,1,23,54.23,2022-01-01 18:25:00
21,21,1,18,68.89,2022-01-01 20:56:00
22,22,1,13,28.7,2022-01-01 14:56:00
23,23,1,21,52.76,2022-01-01 11:15:00
24,24,1,17,117.74,2022-01-01 18:27:00
25,25,1,17,95.05,2022-01-01 11:08:00
26,26,1,10,210.52,2022-01-01 08:07:00
27,27,1,9,56.48,2022-01-01 17:38:00
28,28,1,20,310.3,2022-01-01 21:33:00
29,29,1,21,572.48,2022-01-01 20:43:00
30,30,1,26,116.85,2022-01-01 14:17:00
31,31,1,15,194.46,2022-01-01 11:10:00
32,32,1,49,74.04,2022-01-01 19:16:00
33,33,1,30,25.56,2022-01-01 14:06:00
34,34,1,13,21.6,2022-01-01 16:38:00
35,35,1,22,158.93,2022-01-01 10:49:00
36,36,1,26,29.14,2022-01-01 15:31:00
37,37,1,36,40.74,2022-01-01 19:53:00
38,38,1,9,39.02,2022-01-01 11:36:00
39,39,1,7,32.92,2022-01-01 14:04:00
40,40,1,24,44.93,2022-01-01 10:42:00
41,41,1,27,115.74,2022-01-01 11:55:00
42,42,1,37,65.9,2022-01-01 20:48:00
43,43,1,13,20.18,2022-01-01 12:42:00
44,44,1,19,19.7,2022-01-01 14:07:00
45,45,1,7,19.68,2022-01-01 08:35:00
46,46,1,12,75.94,2022-01-01 09:40:00
47,47,1,9,68.2,2022-01-01 08:21:00
48,48,1,18,55.13,2022-01-01 17:13:00
49,49,1,31,59.9,2022-01-01 19:36:00
50,50,1,20,117.08,2022-01-01 18:12:00
51,51,1,29,84.83,2022-01-01 12:26:00
52,52,1,27,73.19,2022-01-01 17:41:00
53,53,1,17,107.42,2022-01-01 12:55:00
54,54,1,15,69.67,2022-01-01 14:08:00
55,55,1,19,46.78,2022-01-01 11:59:00
56,56,1,37,214.07,2022-01-01 19:06:00
